LOCATION,TOTPLAY,OPEN TO PUBLIC,HOW TO GET THERE,SHADE,SEATING,RESTROOMS,DRINKING WATER,ACTIVE PLAY,SOCIAL PLAY,CREATIVE PLAY,NATURAL_EN,FREE PLAY
Charles Houston Rec Center,2,2,3,3,3,2,2,2,2,2,1,2
John Adams School,2,1,3,1,2,1,1,2,2,2,2,2
Beverly Park,2,3,2,3,3,1,1,2,2,2,2,2
Hooffs Run Park Green,2,3,2,2,3,1,2,2,2,2,2,2
Bev Hills Un Methodist,2,3,2,2,2,1,1,2,2,2,2,2
D MacArthur School,2,3,3,2,2,1,1,2,2,2,2,2
Hill Park,2,3,2,2,2,1,2,2,2,2,2,2
J Houston School,2,3,2,2,1,1,1,2,2,2,2,2
Beach Park,2,3,2,2,2,2,2,2,2,2,2,2
Chinquapin Rec Center,2,2,3,3,3,2,2,2,2,2,1,2
Chetworth Park,2,3,1,2,3,1,2,2,2,2,2,2
Watergate,2,1,2,2,2,2,2,2,2,2,2,2
Simpson Stadium Park,2,3,2,2,2,2,2,2,2,2,2,2
Stevenson Park,2,3,2,3,3,1,1,2,2,2,2,2
Brookvalley Park,2,3,2,2,3,1,1,2,2,2,2,2
Charles Barrett Park,1,3,3,3,1,2,2,2,1,1,2,2
Mt Vernon School,2,3,3,2,3,2,2,2,1,1,2,2
A L Boothe Park,2,3,2,3,2,2,1,2,2,2,2,2
D Kelley Park Ford Nat Cen,1,3,3,1,1,2,1,2,2,2,2,2
Fayette & Queen Park (Helen Miller / Bernard Hunter Park),2,3,2,2,3,1,1,2,2,2,2,2
Lyles Crouch School,2,3,2,2,3,1,1,2,1,2,2,2
Montgomery Park,2,3,2,3,2,1,2,2,2,2,1,2
Del Ray Playground,2,3,2,1,3,1,1,2,2,2,2,2
Potomac Greens HOA,2,3,2,1,3,1,1,2,2,2,2,2
Ben Brenman Park,2,3,2,2,3,2,2,2,2,2,1,2
George Mason School,2,3,2,2,2,1,1,2,2,1,2,2
Nannie J Lee Recreation,2,3,2,2,3,2,2,2,2,2,2,2
Old Presbyterian church meeting house,2,2,2,3,2,1,1,2,2,2,2,2
Park Fairfax,2,1,2,3,3,2,2,2,2,2,2,2
Warwick Landover,2,3,2,2,3,1,1,2,1,1,2,2
Fort Ward Park Hist Site,2,3,2,2,2,1,1,2,2,2,2,2
Hillwood Apt,2,3,2,1,2,1,1,2,2,2,2,2
James Mulligan Park,2,3,2,2,2,1,1,2,2,1,2,2
MeadowCreek Apt,2,3,2,1,2,1,1,2,2,2,2,2
Mt Jefferson Park Green,2,3,2,2,3,1,1,2,2,2,2,2
Fairlington Un Methodist,1,3,1,2,3,1,1,2,2,2,2,2
Patrick Henry School,2,3,2,1,2,1,1,2,2,2,1,2
Bishop of Arlington,2,1,2,1,1,2,2,2,2,2,1,2
Tarleton Park,2,3,1,1,3,1,1,2,2,1,2,2
Goat Hill Park,2,3,2,2,2,1,1,2,2,2,2,1
Armory Tot Lot,2,3,2,2,3,1,1,2,2,1,2,2
Charles Barrett School,2,3,3,2,1,2,2,2,1,1,2,2
James K Polk School,2,3,2,2,3,1,1,2,1,1,2,2
Southern Towers,1,1,2,1,3,1,1,2,2,1,2,2
Landmark Mall,2,3,2,3,3,2,1,2,2,1,1,2
EOS 21 Condo,2,1,2,1,1,2,2,2,2,2,1,2
ARHA_Oronoco,1,3,2,2,3,1,1,1,2,2,2,2
Chatham Square HOA,2,3,2,2,3,1,1,1,2,2,2,2
G Washington School,2,3,3,2,1,1,1,2,2,2,2,1
Exchange at Van Dorn,2,1,2,2,3,1,1,2,2,2,2,2
Hume Springs Park,2,3,2,2,1,1,1,2,2,2,2,2
Mason Avenue Park,2,3,2,2,3,1,1,2,2,1,2,1
Powhatan Park,2,3,2,1,2,1,1,2,2,2,2,2
Sunset Park,2,3,1,1,2,1,1,2,2,2,2,2
Samuel Tucker Elementary,2,3,2,3,3,1,1,2,2,2,1,1
Chinquapin Park,2,3,2,3,2,1,1,2,2,1,2,2
Lynhaven Park,2,3,2,2,3,2,2,2,2,2,1,1
Maury School,2,3,2,2,2,1,1,1,1,1,2,2
Newport Village Apt,2,1,2,1,3,1,1,2,2,2,2,2
ARHA_Whiting,2,1,2,2,2,1,1,2,2,2,2,1
Cameron Parke Townes,2,1,2,2,3,1,1,2,2,2,2,1
Holmes Run Park-S. Jordan St.,1,3,2,2,3,2,2,2,1,1,2,1
Angel Park,2,3,2,2,2,1,1,2,1,2,2,1
Grace Episcopal,2,1,2,2,1,1,1,2,2,2,1,1
Woodbine Park,2,3,2,1,2,1,1,2,1,1,2,2
Buchanan Park,1,3,3,1,2,1,1,2,1,1,1,2
Ewald Park,2,3,2,1,2,2,1,2,1,1,2,2
Van Dorn Edsall,2,1,2,2,2,1,1,2,2,2,2,1
Cora Kelly School,2,3,1,1,2,2,2,2,1,1,1,2
Four Mile Run Park,2,3,1,2,1,1,1,2,1,1,2,2
ARHA_Henry,2,3,2,1,1,1,1,2,1,1,1,2
TC Williams,2,3,1,2,1,1,1,2,2,2,1,1
ARHA_Braddock,1,3,3,1,1,1,1,1,2,2,1,1
ARHA_551 Royal,1,3,2,2,1,1,1,1,1,1,1,2
Brookville Apts,1,3,2,1,2,1,1,1,1,1,1,2
South Port Apt,1,1,2,1,2,1,1,2,1,1,1,2
