Id,Name,Mapid,Agelevel,Totplay,Opentopublic,Invitation,Howtogetthere,Safelocation,Shade,Monitoring,Programming,Weather,Seating,Restrooms,Drinkingw,Activeplay,Socialplay,Creativeplay,Naturualen,Freeplay,Specificcomments,Generalcomments,Compsum,Modsum,Graspvalue,Playclass,Subarea,Created at,Updated at,Lat,Long,Google placesid
1,Charles Houston Rec Center,900,,2,2,2,3,3,3,3,1,3,3,2,2,2,2,2,1,2,"for kids 2-5, $4 charge for 45 min per child", - ,12,26,312,INDOOR,SubArea Four,10/14/12 17:37,11/18/12 18:03,38.812974,-77.047821,09d4274384a3e696c2084ee5199a0ee61bee9c9d
2,John Adams School,23,,2,1,3,3,3,1,3,2,1,2,1,1,2,2,2,2,2,"shade on play,","outdoor classroom,garden, sep fenced 2-5,sep 5-12",15,20,300,SCHOOL,SubArea One,10/14/12 17:37,11/18/12 18:03,38.834147,-77.124638,0a4b840b0a2bcd3b7c37f36e08d3070a7bf26ee4
3,Beverly Park,16,"2-5,5-12",2,3,3,2,3,3,2,1,3,3,1,1,2,2,2,2,2,"shelter,no spin,free toys",unusal park because of free toys,13,23,299,PARK,SubArea Three,10/14/12 17:37,11/18/12 18:03,38.837844,-77.072265,5015fb39437b0612ef16a92b2d3abf6155fcc301
4,Hooffs Run Park Green,73,"2-5,5-12",2,3,3,2,3,2,2,1,2,3,1,2,2,2,2,2,2,"spin,spg needed","need benches on playgrd,rain prot,tables",12,24,288,PARK,SubArea Three,10/14/12 17:37,11/18/12 18:03,38.809568,-77.059406,153d1806727bee0be60c5fe823c464f0ade6505f
5,Bev Hills Un Methodist,109,,2,3,3,2,3,2,2,2,2,2,1,1,2,2,2,2,2,"limited use,after school use,good social","nice play structures,sand, playhouse",13,22,286,OTHER,SubArea Three,10/14/12 17:37,11/18/12 18:03,38.838704,-77.068623,88ba1eddb1f78ac4b9aa4fd6cc8b2a991a402ab8
6,D MacArthur School,58,,2,3,3,3,3,2,1,1,2,2,1,1,2,2,2,2,2,"school, good equip,large open areas","nice,lg,sep play,good surfacing",13,22,286,SCHOOL,SubArea Three,10/14/12 17:37,11/18/12 18:03,38.816005,-77.08311,f481a3fdd4c6857fc88756ad41c808280aa43508
7,Hill Park,95,"2-5,5-12",2,3,3,2,3,2,2,1,2,2,1,2,2,2,2,2,2,"one bench,fountain far,nice sand,","old park w/mature trees,sep play but linked",13,22,286,PARK,SubArea Four,10/14/12 17:37,11/18/12 18:03,38.832351,-77.061008,f28ff6cf67578d876c0d81977276bd216e389744
8,J Houston School,77,,2,3,3,2,3,2,2,1,2,1,1,1,2,2,2,2,2,"school use only during day,lg playgrd","active,good surface,closed to gen pub during day",14,20,280,SCHOOL,SubArea Four,10/14/12 17:37,11/18/12 18:03,38.808049,-77.054765,97ccaebd1419919071e8e01404819c2b199f67d0
9,Beach Park,67,"2-5,5-12",2,3,3,2,3,2,1,1,2,2,2,2,2,2,2,2,2,"need shade for seating,more benches,need baby swgs", - ,12,23,276,PARK,SubArea Three,10/14/12 17:37,11/18/12 18:03,38.813364,-77.065837,4470b6468598aaea4297894f4294baaf8ce8cb73
10,Chinquapin Rec Center,901,,2,2,1,3,3,3,3,1,3,3,2,2,2,2,2,1,2,$4 charge for 30 min per child, - ,11,25,275,INDOOR,SubArea Three,10/14/12 17:37,11/18/12 18:03,38.821787,-77.081566,16c2a5855510723ae94dc060220cb63ac226121a
